Filename:  C:\Users\Administrator\Desktop\COM-data\0degXXcmNoColl.mca,
Description:  ,
TimeStamp:  10/04/2020 09:16:03,
,
Spectral Data Information,
Channel,Data
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,5
209,6
210,9
211,6
212,8
213,9
214,6
215,14
216,4
217,12
218,6
219,13
220,4
221,4
222,8
223,7
224,8
225,12
226,6
227,8
228,8
229,9
230,6
231,5
232,9
233,9
234,13
235,12
236,8
237,7
238,11
239,10
240,9
241,12
242,6
243,8
244,10
245,6
246,12
247,4
248,9
249,12
250,4
251,8
252,6
253,5
254,6
255,8
256,12
257,5
258,11
259,12
260,6
261,8
262,10
263,13
264,5
265,10
266,9
267,6
268,7
269,11
270,8
271,13
272,13
273,10
274,12
275,6
276,5
277,3
278,8
279,10
280,10
281,10
282,5
283,7
284,7
285,10
286,6
287,11
288,13
289,11
290,8
291,11
292,6
293,9
294,12
295,11
296,3
297,14
298,9
299,5
300,8
301,13
302,13
303,11
304,7
305,11
306,6
307,9
308,8
309,11
310,5
311,9
312,11
313,9
314,8
315,8
316,12
317,10
318,6
319,9
320,10
321,8
322,7
323,10
324,11
325,1
326,11
327,6
328,11
329,12
330,9
331,12
332,8
333,10
334,6
335,9
336,7
337,8
338,6
339,7
340,12
341,7
342,7
343,9
344,5
345,12
346,14
347,8
348,7
349,11
350,11
351,7
352,8
353,12
354,12
355,8
356,8
357,11
358,7
359,9
360,11
361,9
362,5
363,8
364,4
365,12
366,8
367,5
368,10
369,14
370,6
371,10
372,10
373,11
