Filename:  C:\Users\Administrator\Desktop\COM-data\NoSource1Msec.mca,
Description:  ,
TimeStamp:  12/01/2020 09:25:53,
,
Spectral Data Information,
Channel,Data
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,1
211,0
212,1
213,2
214,0
215,1
216,1
217,2
218,0
219,1
220,0
221,0
222,2
223,0
224,0
225,1
226,1
227,0
228,0
229,0
230,0
231,1
232,1
233,1
234,1
235,0
236,0
237,0
238,2
239,0
240,1
241,1
242,2
243,1
244,0
245,4
246,1
247,1
248,0
249,0
250,1
251,2
252,0
253,2
254,1
255,1
256,1
257,1
258,3
259,1
260,0
261,0
262,0
263,2
264,2
265,1
266,0
267,2
268,0
269,1
270,1
271,0
272,1
273,2
274,0
275,0
276,0
277,2
278,2
279,1
280,1
281,1
282,3
283,1
284,2
285,0
286,1
287,2
288,1
289,4
290,0
291,1
292,0
293,1
294,0
295,0
296,1
297,0
298,0
299,1
300,0
301,0
302,0
303,2
304,0
305,3
306,0
307,2
308,0
309,0
310,0
311,0
312,0
313,0
314,1
315,1
316,0
317,4
318,1
319,1
320,3
321,0
322,1
323,0
324,0
325,0
326,2
327,0
328,1
329,1
330,0
331,2
332,1
333,0
334,2
335,1
336,0
337,1
338,2
339,0
340,1
341,1
342,2
343,0
344,0
345,1
346,1
347,0
348,2
349,1
350,2
351,1
352,0
353,0
354,1
355,0
356,1
357,0
358,0
359,0
360,1
361,0
362,0
363,1
364,0
365,1
366,1
367,1
368,0
369,2
370,1
371,1
372,0
373,0
374,0
375,0
376,2
377,1
378,0
379,1
380,0
381,2
382,0
383,3
384,1
385,0
386,0
387,1
388,0
389,1
390,0
391,0
392,0
393,0
394,0
395,1
396,1
397,0
398,2
399,0
400,2
401,0
402,0
403,3
404,2
405,1
406,0
407,2
408,0
409,1
410,1
411,0
412,0
413,1
414,0
415,0
416,4
417,1
418,0
419,0
420,0
421,1
422,0
423,1
424,1
425,2
426,0
427,0
428,0
429,0
430,0
431,3
432,1
433,2
434,0
435,1
436,0
437,0
438,0
439,0
440,1
441,0
442,0
443,1
444,1
445,1
446,1
447,3
448,3
449,0
450,0
451,3
452,2
453,0
454,0
455,0
456,0
457,0
458,2
459,2
460,0
461,1
462,1
463,1
464,1
465,1
466,1
467,0
468,1
469,2
470,0
471,0
472,0
473,1
474,0
475,0
476,0
477,0
478,1
479,1
480,0
481,0
482,3
483,1
484,0
485,1
486,0
487,3
488,0
489,0
490,2
491,1
492,0
493,0
494,0
495,1
496,1
497,0
498,0
499,1
500,2
501,2
502,0
503,0
504,1
505,3
506,1
507,1
508,1
509,3
510,1
511,2
512,1
513,0
514,0
515,2
516,1
517,2
518,0
519,0
520,0
521,1
522,1
523,0
524,1
525,1
526,1
527,0
528,1
529,1
530,0
531,0
532,0
533,0
534,1
535,0
536,1
537,0
538,0
539,1
540,0
541,1
542,0
543,0
544,1
545,3
546,1
547,3
548,1
549,1
550,0
551,1
552,0
553,0
554,0
555,1
556,2
557,0
558,0
559,0
560,1
561,1
562,0
563,0
564,1
565,1
566,1
567,2
568,0
569,0
570,1
571,1
572,2
573,2
574,0
575,0
576,0
577,1
578,0
579,2
580,1
581,0
582,1
583,2
584,0
585,2
586,0
587,0
588,0
589,2
590,0
591,1
592,0
593,1
594,0
595,2
596,0
597,2
598,0
599,1
600,0
601,0
602,0
603,1
604,2
605,0
606,0
607,0
608,2
609,2
610,0
611,0
612,0
613,1
614,1
615,0
616,1
617,0
618,0
619,1
620,2
621,0
622,0
623,1
624,2
625,1
626,0
627,1
628,0
629,1
630,0
631,0
632,0
633,1
634,1
635,0
636,0
637,0
638,0
639,0
640,0
641,1
642,0
643,0
644,0
645,0
646,2
647,1
648,1
649,1
650,0
651,1
652,3
653,2
654,0
655,1
656,0
657,1
658,1
659,0
660,1
661,0
662,1
663,0
664,0
665,0
666,1
667,3
668,0
669,2
670,0
671,3
672,1
673,2
674,0
675,0
676,3
677,0
678,2
679,1
680,2
681,1
682,1
683,3
684,0
685,1
686,1
687,0
688,0
689,0
690,1
691,1
692,0
693,2
694,0
695,0
696,0
697,2
698,2
699,0
700,0
701,1
702,1
703,1
704,3
705,0
706,1
707,1
708,0
709,0
710,1
711,0
712,0
713,1
714,2
715,0
716,2
717,0
718,1
719,4
720,0
721,0
722,0
723,0
724,1
725,0
726,2
727,0
728,0
729,1
730,0
731,0
732,0
733,1
734,1
735,1
736,1
737,0
738,2
739,0
740,0
741,0
742,0
743,1
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,1
752,1
753,1
754,0
755,0
756,0
757,1
758,0
759,1
760,1
761,1
762,1
763,1
764,0
765,2
766,0
767,3
768,2
769,2
770,0
771,0
772,2
773,0
774,0
775,1
776,0
777,2
778,0
779,1
780,0
781,1
782,1
783,0
784,1
785,2
786,0
787,2
788,0
789,3
790,1
791,0
792,0
793,1
794,1
795,0
796,1
797,0
798,2
799,0
800,2
801,4
802,2
803,0
804,1
805,1
806,3
807,0
808,2
809,2
810,2
811,1
812,3
813,2
814,0
815,1
816,1
817,3
818,3
819,1
820,1
821,2
822,0
823,1
824,0
825,1
826,1
827,0
828,3
829,0
830,2
831,1
832,0
833,1
834,1
835,0
836,0
837,1
838,1
839,0
840,1
841,1
842,1
843,0
844,2
845,0
846,0
847,2
848,1
849,0
850,2
851,0
852,0
853,0
854,1
855,1
856,0
857,1
858,0
859,1
860,1
861,4
862,1
863,0
864,1
865,0
866,1
867,0
868,2
869,3
870,1
871,2
872,0
873,2
874,0
875,0
876,0
877,0
878,0
879,0
880,1
881,2
882,0
883,0
884,0
885,0
886,1
887,0
888,0
889,2
890,0
891,1
892,0
893,1
894,2
895,0
896,1
897,1
898,0
899,3
900,2
901,2
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,1
912,1
913,0
914,0
915,0
916,0
917,0
918,0
919,1
920,0
921,0
922,1
923,0
924,0
925,0
926,2
927,2
928,0
929,0
930,1
931,1
932,0
933,0
934,1
935,1
936,0
937,0
938,0
939,1
940,0
941,0
942,2
943,0
944,2
945,0
946,1
947,1
948,0
949,0
950,0
951,2
952,0
953,0
954,0
955,0
956,1
957,0
958,0
959,4
960,1
961,0
962,0
963,1
964,1
965,0
966,1
967,0
968,2
969,0
970,2
971,1
972,0
973,1
974,0
975,2
976,0
977,0
978,0
979,2
980,1
981,0
982,0
983,1
984,1
985,2
986,1
987,2
988,1
989,2
990,2
991,1
992,2
993,2
994,2
995,1
996,0
997,0
998,2
999,0
1000,0
1001,2
1002,0
1003,1
1004,1
1005,0
1006,0
1007,0
1008,0
1009,1
1010,4
1011,0
1012,0
1013,2
1014,0
1015,2
1016,0
